ID;Pregunta;Opción A;Opción B;Opción C;Opción D;Respuesta
1;El término 'ciencia' proviene del latín y su significado original es:;Buscar;Conocer;Analizar;Explicar;B
2;¿Cuál es el motor de toda actividad científica según el texto? ;Los libros de texto;Las preguntas y las ideas;Los experimentos de laboratorio;El financiamiento económico;B
3;¿Cuál es la primera fase del método científico que suele realizarse a partir del entorno y genera interrogantes?:;Formulación de hipótesis;Experimentación;Observación;Análisis de resultados;C
4;Una explicación fundamentada y susceptible de ser contrastada empíricamente para responder a una pregunta se denomina:;Teoría;Ley;Conclusión;Hipótesis;D
5;¿Qué fase del método científico requiere frecuentemente del apoyo de la estadística para sostener o refutar la hipótesis?:;La observación;La formulación de hipótesis;La experimentación;El análisis de los resultados;D
6;La Biología es una ciencia que consiste en el estudio integral de:;El medio ambiente;Los seres vivos;La materia inanimada;La atmósfera terrestre;B
7;¿Qué disciplina de la biología nos ayuda a conocer las causas que actualmente dañan nuestro mundo y tomar medidas para su conservación?:;Genética;Fisiología;Ecología;Anatomía;C
8;La rama de la biología que se ocupa del estudio de los animales, tanto invertebrados como vertebrados, es:;Botánica;Taxonomía;Fisiología;Zoología;D
9;¿Qué rama de la biología estudia el funcionamiento del organismo desde el nivel celular hasta el nivel de sistemas?:;Anatomía;Citología;Genética;Fisiología;D
10;La disciplina que estudia la naturaleza, expresión y transmisión de los genes de los organismos es la:;Bioquímica;Embriología;Genética;Biología celular;C
11;La rama de la biología que describe la forma, disposición, composición y relación entre los órganos y sistemas es:;Paleontología;Anatomía;Biofísica;Etología;B
12;¿Qué rama de la biología estudia los microorganismos como virus, bacterias y protozoarios?:;Microbiología;Botánica;Zoología;Embriología;A
13;El estudio del comportamiento de los animales, como la migración de las aves o rituales de apareamiento, corresponde a la:;Ecología;Fisiología;Etología;Taxonomía;C
14;La rama de la biología que estudia la estructura y función molecular de los seres vivos es:;Biofísica;Embriología;Bioquímica;Anatomía;C
15;La teoría que sostiene que cada especie fue creada por separado gracias a fuerzas divinas y permanece inmutable es:;Panspermia;Generación espontánea;Creacionismo;Quimiosintética;C
16;¿Cuál de las siguientes teorías fue refutada por los experimentos de Louis Pasteur en el siglo XIX?:;Teoría de la Biogénesis;Teoría de la Panspermia;Teoría de la generación espontánea;Teoría Quimiosintética;C
17;¿Qué científico demostró que las larvas de moscas no se generaban de la carne en putrefacción, sino de los huevos depositados?:;Louis Pasteur;Alexander Oparin;John Haldane;Francesco Redi;D
18;¿Qué teoría propone que los primeros organismos vivos llegaron a la Tierra desde el espacio exterior en forma de esporas o bacterias?:;Creacionismo;Biogénesis;Panspermia;Abiogénesis;C
19;La teoría quimiosintética (Oparin-Haldane) propone que la atmósfera primitiva de la Tierra era:;Rica en oxígeno (O2);Similar a la atmósfera actual;Carente de oxígeno (O2);Formada solo por nitrógeno y argón;C
20;Alexander Oparin denominó a los mares primitivos, donde se unieron moléculas orgánicas sencillas, como:;Sopa molecular;Caldo biológico;Océano ancestral;Caldo primitivo;D
21;Los agregados moleculares que surgieron a partir de compuestos más complejos y que son precursores de las primeras células se llaman:;Aminoácidos;Nucleótidos;Coenzimas;Coacervados;D
22;La unidad básica estructural y funcional de la vida es:;El tejido;El órgano;El sistema;La célula;D
23;El nivel de organización que incluye una comunidad más el medio no viviente (suelo, agua, atmósfera) se denomina:;Población;Organismo;Biósfera;Ecosistema;D
24;¿Qué conforman los organismos de una misma especie que interactúan entre sí?:;Un ecosistema;Una comunidad;Una biósfera;Una población;D
25;¿Qué característica permite a los seres vivos mantener relativamente constantes sus condiciones internas para funcionar adecuadamente?:;Metabolismo;Irritabilidad;Evolución;Autorregulación (Homeostasis);D
26;La regulación precisa de la cantidad de agua y sales dentro de las células es un ejemplo de:;Metabolismo;Reproducción;Homeostasis;Crecimiento;C
27;La capacidad que tienen los organismos para identificar y responder a los estímulos del ambiente (interno o externo) se llama:;Homeostasis;Adaptación;Metabolismo;Irritabilidad biológica;D
28;En las plantas, el crecimiento que se orienta hacia la luz es un ejemplo de:;Anabolismo;Desarrollo;Reproducción;Respuesta a estímulos;D
29;¿Cuál es la principal fuente de energía que sostiene prácticamente toda la vida en la Tierra?:;El calor geotérmico;La energía almacenada en lípidos;La energía nuclear;La luz del Sol;D
30;Los organismos que captan la energía de la luz para producir moléculas energéticas complejas mediante fotosíntesis se llaman:;Heterótrofos;Consumidores;Parásitos;Autótrofos;D
31;A la suma de todas las reacciones químicas (degradación y construcción) que tienen lugar en las células de un organismo se le conoce como:;Homeostasis;Fotosíntesis;Respiración;Metabolismo;D
32;La fase del metabolismo que incluye reacciones químicas de construcción (unión de moléculas sencillas a complejas) se denomina:;Catabolismo;Desdoblamiento;Degradación;Anabolismo;D
33;¿Qué fase metabólica implica la ruptura de enlaces y la liberación de energía, que será almacenada en las moléculas de ATP?:;Anabolismo;Fotosíntesis;Catabolismo;Síntesis;C
34;El incremento de tamaño de un organismo, que puede deberse al aumento de masa celular o del número de células, se define como:;Desarrollo;Evolución;Crecimiento;Adaptación;C
35;Los cambios cualitativos y funcionales que ocurren a lo largo de la vida, como la adquisición de nuevas capacidades, se refieren a:;Crecimiento;Homeostasis;Desarrollo;Adaptación;C
36;El concepto que postula que todos los seres vivos tuvieron su origen en formas ancestrales y se modificaron continuamente a través del tiempo es:;Genética;Homeostasis;Evolución;Irritabilidad;C
37;La fuerza más importante en la evolución que favorece la supervivencia de los organismos con rasgos mejor adaptados a su entorno es:;Herencia de caracteres;Uso y desuso de órganos;Selección natural;Mutación dirigida;C
38;La capacidad que tienen los organismos para ajustarse a su ambiente, aumentando sus posibilidades de sobrevivir y reproducirse, se llama:;Desarrollo;Metabolismo;Homeostasis;Adaptación;D
39;¿Cuál es el proceso que permite la transmisión de la información genética a la descendencia, garantizando la continuidad de la vida?:;Metabolismo;Adaptación;Reproducción;Crecimiento;C
40;El tipo de reproducción que ocurre sin la fusión de gametos, produciendo descendencia genéticamente idéntica al progenitor, es:;Sexual;Alternante;Asexual;Cruzada;C
41;El tipo de reproducción que implica la unión de dos gametos, resultando en descendencia genéticamente única y con variabilidad, es:;Sexual;Asexual;Gemación;Partenogénesis;A
42;El proceso de reproducción asexual en el que se forman protuberancias o yemas del progenitor que se desprenden o forman colonias se llama:;Fisión binaria;Esporulación;Gemación;Fragmentación;C
43;La formación de un nuevo individuo a partir de óvulos no fecundados (sin la necesidad de un macho) se conoce como:;Fecundación;Multiplicación vegetativa;Partenogénesis;Esporulación;C
44;El proceso por el cual se forman gametos o células sexuales haploides a través de la meiosis se denomina:;Fecundación;Desarrollo embrionario;Fertilización;Gametogénesis;D
45;¿Qué condición ocurre cuando un mismo individuo posee sistemas reproductores masculinos y femeninos?:;Diploide;Hermafroditismo;Autofecundación;Reproducción alternante;B
46;La rama de la Biología que establece las reglas para nombrar, describir y clasificar a las especies en categorías jerárquicas es la:;Sistemática;Filogenia;Taxonomía;Evolución;C
47;El sistema binomial de clasificación, propuesto por Linneo, utiliza el latín y consta de dos palabras, que son:;Reino y Filum;Género y epíteto específico;Especie y Orden;Clase y Familia;B
48;¿Cuál de las siguientes es la unidad básica de clasificación, cuya escritura consta de dos palabras según el sistema binomial?:;Género;Familia;Orden;Especie;D
49;El postulado de Lamarck que establece que las partes del cuerpo que se usan se desarrollan y las que no se usan se debilitan es el:;Principio del perfeccionamiento;Principio del uso y desuso;Herencia de caracteres adquiridos;Ley de la selección natural;B
50;¿Qué principio de Lamarck postula que las modificaciones adquiridas por un organismo a lo largo de su vida son transmitidas a la descendencia?:;Ley del uso;Herencia de los caracteres adquiridos;El uso diferencial;Ley de la evolución intrínseca;B
51;¿Cómo se conoce la capacidad de los organismos para recibir información, procesar, elaborar y ejecutar una respuesta para garantizar su supervivencia?;Homeostasis;Adaptación;Excitabilidad o Irritabilidad;Metabolismo;C
52;En la función de relación, ¿qué nombre recibe el elemento interno o externo capaz de provocar una reacción en el individuo?;Respuesta;Receptor;Estímulo;Efector;C
53;Según el texto, la estructura que descifra la información del estímulo, la procesa y elabora una respuesta se llama:;Receptor;Órgano efector;Modulador;Fibras nerviosas;C
54;Los estímulos que se perciben como olores y sabores se clasifican como estímulos:;Físicos;Térmicos;Químicos;Barométricos;C
55;Los estímulos lumínicos, sonoros y gravitacionales se clasifican como estímulos:;Químicos;Internos;Físicos;Propioceptores;C
56;¿Qué estructuras especializadas captan los estímulos del medio y los traducen en señales eléctricas hacia los centros nerviosos?;Órganos efectores;Glándulas;Receptores;Músculos;C
57;Los receptores que captan estímulos del medio externo, como la luz, se denominan:;Interorreceptores;Propioceptores;Nociceptores;Exterorreceptores;D
58;¿Qué tipo de receptores perciben estímulos que se originan dentro del organismo, como la presión sanguínea?;Exterorreceptores;Nociceptores;Interorreceptores;Propioceptores;C
59;Los receptores que detectan estímulos internos relacionados con la posición de las extremidades y la orientación del cuerpo en el espacio son los:;Termorreceptores;Mecanorreceptores;Propioceptores;Quimiorreceptores;C
60;Los receptores que perciben estímulos térmicos (calor, frío y variaciones de temperatura) se llaman:;Mecanorreceptores;Fotorreceptores;Nociceptores;Termorreceptores;D
61;¿Qué receptores detectan estímulos como presión, tacto y vibración y se encuentran en la piel, músculos y articulaciones?:;Termorreceptores;Quimiorreceptores;Mecanorreceptores;Fotorreceptores;C
62;Los receptores que captan estímulos lumínicos y se ubican en la retina del ojo en vertebrados son los:;Termorreceptores;Mecanorreceptores;Nociceptores;Fotorreceptores;D
63;¿Qué receptores perciben estímulos químicos, como olfato y sabor, y se encuentran en la cavidad nasal y la lengua?:;Fotorreceptores;Termorreceptores;Quimiorreceptores;Nociceptores;C
64;Los receptores que captan estímulos dolorosos provocados por lesiones en los tejidos se llaman:;Exterorreceptores;Propioceptores;Interorreceptores;Nociceptores;D
65;Cuando la respuesta de un ser vivo a un estímulo se manifiesta mediante un movimiento, se habla de una respuesta:;Secretora;Fisiológica;Adaptativa;Motora;D
66;¿Qué tipo de respuesta se da cuando un estímulo provoca que una glándula produzca y libere una sustancia, como una hormona?:;Respuesta motora;Respuesta de crecimiento;Respuesta secretora;Respuesta de orientación;C
67;En los animales, los movimientos o respuestas motoras son ejecutados por los:;Glándulas;Centros nerviosos;Músculos;Nervios;C
68;Un ejemplo de respuesta secretora mencionada es cuando la succión del pezón provoca que la glándula mamaria aumente la producción de:;Adrenalina;Melanina;Látex;Leche;D
69;En los vegetales, las respuestas motoras se manifiestan mediante movimientos de crecimiento u orientación y se conocen como:;Secreción;Adaptación;Homeostasis;Tropismos y nastias;D
70;Los movimientos de crecimiento o curvatura de un órgano vegetal que tienen relación directa con la dirección del estímulo se denominan:;Nastias;Hidrotropismos;Sismonastias;Tropismos;D
71;¿Cómo se llama el tropismo que consiste en la respuesta de un órgano vegetal a la luz?:;Geotropismo;Hidrotropismo;Fototropismo;Tigmotropismo;C
72;El geotropismo o gravitropismo es la respuesta de un órgano vegetal a la:;Luz;Humedad;Gravedad;Sustancias químicas;C
73;El hidrotropismo es la respuesta de un órgano vegetal a la:;Temperatura;Gravedad;Humedad;Contacto físico;C
74;El tigmotropismo es la respuesta de un órgano vegetal al:;Calor;Contacto;Movimiento;Agua;B
75;Cuando un órgano vegetal crece en dirección hacia el estímulo que lo provoca, la respuesta se clasifica como:;Negativa;Mixta;Adaptativa;Positiva;D
76;Cuando el órgano vegetal crece en dirección contraria al estímulo que lo provoca, la respuesta se clasifica como:;Positiva;Negativa;Táctil;Mixta;B
77;Los movimientos de los vegetales en los que no hay relación entre la dirección del estímulo y la dirección del movimiento se denominan:;Tropismos;Fototropismos;Hidrotropismos;Nastias;D
78;La termonastia es el movimiento en los vegetales que se produce como respuesta a:;Variaciones de luz;Vibraciones;Cambios de temperatura;Contacto;C
79;La fotonastia es el movimiento en los vegetales que se produce como reacción ante:;La gravedad;Cambios de temperatura;Variaciones en la intensidad de la luz;Sustancias químicas;C
80;La tigmonastia es un tipo de respuesta rápida en vegetales a:;Variaciones de luz;Golpes;El contacto;La temperatura;C
81;La sismonastia es la reacción de un vegetal a:;La luz intensa;El calor;Vibraciones o golpes;Sustancias químicas;C
82;A diferencia de las plantas, la función de relación en los animales se caracteriza por su capacidad para:;Crecer;Realizar fotosíntesis;Desplazarse de un lugar a otro;Reproducirse asexualmente;C
83;En los animales, la percepción de estímulos se realiza a través de:;Ganglios nerviosos;Músculos;Centros de procesamiento;Receptores;D
84;En el procesamiento de la información animal, los datos captados por los receptores se envían a estructuras como:;Glándulas suprarrenales;Órganos efectores;El cerebro o ganglios nerviosos;Los músculos;C
85;¿Qué órganos comunican los centros de procesamiento con los órganos efectores, transmitiendo los impulsos que provocarán la acción necesaria?:;Receptores;Glándulas;Nervios;Células blanco;C
86;En los animales, los órganos que ejecutan las respuestas ante un estímulo se denominan:;Moduladores;Receptores;Efectores;Ganglios;C
87;Una respuesta motora en animales implica principalmente:;La producción de hormonas;El desplazamiento o movimiento de una parte del cuerpo;La diferenciación celular;La apoptosis;B
88;Un ejemplo de respuesta secretora en animales es cuando el sistema nervioso envía señales a las glándulas suprarrenales para que secreten:;Glicógeno;Adrenalina (una hormona);Insulina;Melatonina;B
89;¿Cuál es la principal estructura de la célula que recibe estímulos del entorno y permite la entrada o salida de sustancias?:;El núcleo;El citoplasma;La mitocondria;La membrana plasmática;D
90;Las proteínas capaces de detectar estímulos específicos y transmitir la información al interior de la célula se llaman:;Enzimas;Citoesqueleto;Receptores (celulares);Neurotransmisores;C
91;En el contexto celular, las sustancias producidas por otras células que viajan hasta células blanco para transmitir información se denominan:;Lípidos;Receptores;Señales;Filamentos;C
92;Las señales que se transportan por la sangre para comunicar información entre células se conocen como:;Neurotransmisores;Gases;Hormonas;Anticuerpos;C
93;Las señales que comunican células del sistema nervioso se conocen como:;Hormonas;Citocinas;Antígenos;Neurotransmisores;D
94;El mecanismo de respuesta celular donde las bacterias o protozoos se acercan al estímulo se denomina:;Desplazamiento negativo;Diferenciación;Secreción;Desplazamiento positivo;D
95;El mecanismo de respuesta celular donde las células eucariotas pueden desplazarse por movimientos ameboides, formando:;Membrana plasmática;Microtúbulos;Pseudópodos;Placas celulares;C
96;¿Qué mecanismo de respuesta celular ocurre principalmente en células musculares mediante proteínas como actina y miosina?:;Proliferación;Contracción;Diferenciación;Secreción;B
97;El mecanismo de respuesta celular donde una señal estimula a la célula a dividirse, aumentando su número, se llama:;Diferenciación;Apoptosis;Contracción;Proliferación;D
98;La respuesta celular que implica una cadena de señales que activan genes y provocan cambios morfológicos para que la célula se especialice es la:;Proliferación;Contracción;Secreción;Diferenciación;D
99;El proceso controlado mediante señales que eliminan células dañadas o infectadas, protegiendo al organismo, se llama:;Diferenciación;Secreción;Apoptosis o muerte celular programada;Proliferación;C
100;En los vegetales, las respuestas secretoras implican la liberación de sustancias como la resina, el néctar o el látex, por parte de:;El sistema vascular;El xilema;Ciertas células u órganos de la planta;Las raíces;C
101;¿Qué porcentaje de la materia viva está constituido por el carbono (C), hidrógeno (H), oxígeno (O) y nitrógeno (N)?;80%;99%;75%;96%;D
102;¿Cómo se denominan los elementos requeridos por un organismo en cantidades muy bajas?;Macronutrientes;Isótopos;Minerales;Oligoelementos;D
103;¿Cuáles son los dos tipos principales de biomoléculas?;Simples y complejas;Inorgánicas y orgánicas;Esenciales y no esenciales;Estructurales y energéticas;B
104;¿Qué biomolécula inorgánica conforma aproximadamente el 70% del peso del cuerpo humano?;Minerales;Oxígeno (O₂);Agua;Dióxido de carbono (CO₂);C
105;La polaridad de la molécula de agua se debe a que el oxígeno es más:;Electropositivo que el hidrógeno;Isotrópico que el hidrógeno;Electronegativo que el hidrógeno;Covalente que el hidrógeno;C
106;¿Qué tipo de enlace atrae las moléculas de agua entre sí, dando lugar a sus propiedades emergentes?;Enlace covalente;Enlace iónico;Puente de hidrógeno;Enlace metálico;C
107;¿Qué propiedad del agua es la resistencia de su superficie a romperse, debido a los puentes de hidrógeno?;Adhesión;Tensión superficial;Capilaridad;Poder disolvente;B
108;¿Cómo se denomina la capacidad del agua para adherirse a otros muchos tipos de sustancias, especialmente aquellas con grupos cargados?;Cohesión;Adhesión;Capilaridad;Polaridad;B
109;La combinación de fuerzas adhesivas y cohesivas permite al agua moverse en tubos delgados incluso contra la gravedad. Esta propiedad se llama:;Poder disolvente;Calor específico;Capilaridad;Tensión superficial;C
110;Las sustancias que interactúan fácilmente con el agua, como el azúcar de mesa (sacarosa), se denominan:;Hidrófobas;No polares;Anfipáticas;Hidrófilas;D
111;La propiedad del agua de tener un calor específico muy elevado se debe a que la energía del calor se emplea primero en:;Aumentar la densidad;Romper los puentes de hidrógeno;Formar enlaces covalentes;Acelerar la oxidación;B
112;¿Cuál es la función principal de los carbohidratos en el organismo?;Función estructural;Regulación de la temperatura;Proporcionar energía de arranque;Transporte de oxígeno;C
113;¿Cuál es la proporción aproximada de átomos de carbono, hidrógeno y oxígeno en un carbohidrato (CH₂O)?;01:01:01;01:02:01;02:01:01;01:01:02;B
114;¿Cómo se clasifican los carbohidratos que contienen una sola unidad de azúcar?;Disacáridos;Polisacáridos;Monosacáridos;Glicósidos;C
115;La **glucosa** ($C_6H_{12}O_6$), fructosa y galactosa se clasifican como azúcares de seis átomos de carbono, denominados:;Triosas;Pentosas;Disacáridos;Hexosas;D
116;¿Cuál es el monosacárido más abundante y se utiliza como principal fuente de energía en la mayor parte de los organismos?;Fructosa;Ribosa;Glucosa;Galactosa;C
117;La **sacarosa** (azúcar de mesa) y la **lactosa** (azúcar de la leche) son ejemplos de:;Monosacáridos;Hexosas;Polisacáridos;Disacáridos;D
118;¿Qué tipo de carbohidrato consiste en macromoléculas con miles de unidades repetidas de azúcares simples, como el almidón, glucógeno y celulosa?;Monosacáridos;Disacáridos;Aminosacáridos;Polisacáridos;D
119;¿Cuál es la forma común de carbohidrato que utilizan las **plantas** para el almacenamiento de energía?;Celulosa;Glucógeno;Maltosa;Almidón;D
120;El glucógeno (a veces denominado almidón animal) se almacena como fuente de energía, sobre todo, en las células:;Óseas y nerviosas;Hepáticas y musculares;Renales y pancreáticas;Adiposas y epiteliales;B
121;¿Cuál es el carbohidrato estructural que forma las resistentes paredes celulares de sostén de las células vegetales?;Glucógeno;Almidón;Quitina;Celulosa;D
122;La **quitina**, componente principal de las paredes celulares de los hongos y del esqueleto externo de los artrópodos, se compone de subunidades de:;Glucosamina;Galactosamina;N-acetilglucosamina (NAG);Glucoproteínas;C
123;Los **lípidos** se caracterizan por ser solubles en solventes no polares (como éter y cloroformo) y relativamente insolubles en agua, por lo que se consideran:;Hidrófilos;Anfipáticos;Polares;Hidrófobos;D
124;Los lípidos más abundantes en los seres vivos, utilizados como reserva de energía, son conocidos como grasas o:;Fosfolípidos;Carotenoides;Triacilgliceroles o triglicéridos;Esteroides;C
125;Una molécula de triglicérido consiste en una molécula de glicerol unida a:;Dos ácidos grasos;Un grupo fosfato;Cuatro anillos de carbono;Tres ácidos grasos;D
126;Los ácidos grasos que contienen el número máximo posible de átomos de hidrógeno y que forman lípidos sólidos a temperatura ambiente se denominan:;Insaturados;Polinsaturados;Monoinsaturados;Saturados;D
127;Los ácidos grasos que tienen uno o más pares de átomos de carbono adyacentes unidos por enlaces dobles se denominan:;Saturados;Trans;Insaturados;Cíclicos;C
128;Los lípidos anfipáticos en los que un extremo de la molécula es hidrofílico y el otro hidrófobo, y son componentes estructurales de las membranas celulares, se llaman:;Esteroides;Carotenoides;Triacilgliceroles;Fosfolípidos;D
129;El **colesterol**, las sales biliares y las hormonas de la reproducción son ejemplos de lípidos que se caracterizan por tener átomos de carbono dispuestos en cuatro anillos unidos. Estos compuestos son:;Fosfolípidos;Carotenoides;Triglicéridos;Esteroides;D
130;Las macromoléculas compuestas de **aminoácidos** y que son los componentes más versátiles de las células (por ejemplo, las enzimas) son:;Carbohidratos;Lípidos;Ácidos nucleicos;Proteínas;D
131;Los constituyentes de las proteínas son los **aminoácidos**, que tienen un grupo amino (-NH₂) y un grupo carboxilo (-COOH) unidos al mismo átomo de carbono, además de una cadena lateral variable (grupo R):;Ribosa;Ácido graso;Grupo fosfato;Grupo R;D
132;¿Qué tipo de aminoácidos son aquellos que no se pueden sintetizar en cantidad suficiente y se deben obtener a través de la dieta (por ejemplo, isoleucina y lisina)?;No esenciales;Proteicos;Esenciales;Comunes;C
133;El enlace covalente carbono-nitrógeno que une dos aminoácidos químicamente se llama:;Puente de hidrógeno;Enlace glucosídico;Enlace fosfodiéster;Enlace peptídico;D
134;¿Cómo se denomina al nivel de organización de una proteína que representa la secuencia lineal de aminoácidos unidos por enlaces peptídicos?;Estructura secundaria;Estructura cuaternaria;Estructura terciaria;Estructura primaria;D
135;Las estructuras secundarias de una proteína, como la hélice y la lámina plegada, son el resultado de:;Enlaces peptídicos;Interacciones hidrófobas;Puentes de hidrógeno;Enlaces disulfuro;C
136;El nivel de organización de una proteína que corresponde a la **forma global** tridimensional que toma una sola cadena polipeptídica se llama:;Estructura primaria;Estructura secundaria;Estructura cuaternaria;Estructura terciaria;D
137;La hemoglobina, que transporta oxígeno en los eritrocitos, es un ejemplo de proteína que está compuesta por dos o más cadenas polipeptídicas interactuando. Esto corresponde a la estructura:;Primaria;Secundaria;Terciaria;Cuaternaria;D
138;¿Qué función proteica corresponde a las moléculas que aceleran miles de reacciones químicas en un organismo (por ejemplo, las enzimas)?;Defensa;Enzimática;Reserva;Reguladora;B
139;El colágeno, que fortalece los tejidos animales, y la queratina, son ejemplos de proteínas con función:;Reguladora;Transporte;Estructural;Movimiento;C
140;La actina y la miosina, esenciales para la contracción muscular, son ejemplos de proteínas con función de:;Reserva;Movimiento;Transporte;Defensa;B
141;Los anticuerpos, que cumplen funciones de defensa contra invasores extraños, son un ejemplo de proteínas con función de:;Transporte;Reguladora;Defensa;Estructural;C
142;Las biomoléculas formadas por cadenas lineales de **nucleótidos** que contienen la información genética o participan en la síntesis de proteínas son:;Proteínas;Carbohidratos;Lípidos;Ácidos nucleicos;D
143;Cada **nucleótido** que forma una cadena de ácido nucleico está compuesto por tres partes: un azúcar (pentosa), un grupo fosfato ($–PO_4$) y una:;Base púrica;Base pirimídica;Base nitrogenada;Base alifática;C
144;¿Qué pentosa (azúcar de cinco carbonos) se encuentra en la composición del **ADN**?;Glucosa;Ribosa;Desoxirribosa;Fructosa;C
145;¿Qué pentosa (azúcar de cinco carbonos) se encuentra en la composición del **ARN**?;Desoxirribosa;Ribosa;Galactosa;Gliceraldehído;B
146;¿Cuáles son las dos bases nitrogenadas clasificadas como bases **púricas**?;Timina y Uracilo;Citosina y Timina;Adenina y Guanina;Adenina y Citosina;C
147;En el ADN, las bases nitrogenadas se unen por puentes de hidrógeno. ¿Con qué base se une siempre la Adenina (A)?;Citosina (C);Guanina (G);Uracilo (U);Timina (T);D
148;¿Qué ácido nucleico es el componente de los genes, el material hereditario que contiene instrucciones para la síntesis de todas las proteínas y ARN?;Ácido ribonucleico (ARN);Ácido fosfórico;Glucógeno;Ácido desoxirribonucleico (ADN);D
149;¿Qué base nitrogenada **reemplaza** a la Timina (T) en la composición del Ácido Ribonucleico (ARN)?;Adenina (A);Guanina (G);Citosina (C);Uracilo (U);D
150;¿Qué tipo de ARN se encarga de copiar la información genética del ADN y transportarla a los ribosomas para hacer la síntesis de proteínas?;ARN ribosomal (ARNr);ARN de transferencia (ARNt);ARN mensajero (ARNm);ARN polimerasa;C
151;El paso de una sustancia de menos concetración a otra sustancia de mayor concentración a través de una membrana permeable es:;Osmosis;Difusión;Gel;Pinocitosis;A
152;Cuando los dos genes del par son exactamente iguales se denomina:;Homozigoto;Heterozigoto;Híbrido;Genotipo;A
153;Proceso por el cual se introducen partículas grandes como bacterias o partículas extrañas y lo engloba por completo formando una vesícula digestiva es:;Fagocitosis;Exocitosis;Pinocitosis;Diapédesis;A
154;¿Cuál de los siguientes no es un postulado de la teoría de Lamarck?;La selección natural.;El uso y desuso de órganos.;La herencia de los caracteres adquiridos.;La tendencia intrínseca al perfeccionamiento.;A
155;La Teoría de la Evolución de Darwin se basa fundamentalmente en:;La selección natural.;La herencia de los caracteres adquiridos.;El uso y desuso de órganos.;El origen de la vida por la abiogénesis.;A
156;La Homeostasis es la:;Regulación del medio interno.;Propiedad de percibir y responder a los estímulos.;Transformación de materia y energía.;Capacidad para originar nuevos individuos.;A
157;Una característica importante de la Teoría Quimiosintética sobre el origen de la vida es:;La atmósfera primitiva era carente de O2.;La vida viene de una fuerza superior.;La vida viene de la vida preexistente.;La vida viene de la materia inerte.;A
158;Rama de la biología que estudia la composición, estructura y función de la célula:;Citología;Genética;Histología;Morfología;A
159;Biomoléculas que cumplen función energética y estructural:;Carbohidratos;Proteínas;Lípidos;Ácidos nucleicos;A
160;Sustancia que interviene en la regulación de la temperatura corporal:;Agua;Sal común;Fructuosa;Cloruro de sodio;A
161;Estudia a los animales:;Zoología;Botánica;Genética;Anatomía;A
162;Biomolécula más abundante en el ser humano:;Agua;Sales minerales;Glúcidos;Lípidos;A
163;Es el intercambio de gases entre los seres vivos y el medio ambiente:;Respiración;Irritabilidad;Metabolismo;Homeostasis;A
164;Postulado por Louis Pasteur que puso fin a la teoría de la Generación Espontánea:;Biogénesis;Quimiosintética;Panspermia;Creacionismo;A
165;¿Cuál de las siguientes no es característica de los seres vivos?;Ausencia de Metabolismo;Homeostasis;Metabolismo;Reproducción;A
166;¿Cuál de las siguientes teorías establece que los seres vivos se originaron a partir de esporas o bacterias que viajaron por el espacio?;Panspermia;Generación espontánea;Biogénesis;Creacionismo;A
167;Proceso por el cual los seres vivos mantienen su medio interno constante, pese a las variaciones externas:;Homeostasis;Metabolismo;Crecimiento;Adaptación;A
168;A la capacidad que tienen los seres vivos para responder a un estímulo externo se denomina:;Irritabilidad;Homeostasis;Metabolismo;Adaptación;A
169;En el proceso de la evolución se habla de dos teorías:;Lamarckismo y Darwinismo;Lamarckismo y Mendelismo;Darwinismo y Mendelismo;Lamarckismo y Creacionismo;A
170;Cuando los dos genes del par son distintos se denomina:;Heterozigoto;Homozigoto;Alelo;Genotipo;A
171;Unidad fundamental y básica de todo ser vivo:;Célula;Tejido;Órgano;Sistema;A
172;Rama de la Biología que estudia el origen, evolución y diversificación de las especies:;Filogenia;Taxonomía;Fisiología;Biogeografía;A
173;Las sales minerales ¿Qué función cumplen en el organismo?;Reguladora y estructural;Energética;Exclusivamente energética;Estructural;A
174;Es la capacidad del ser vivo para originar nuevos individuos:;Reproducción;Adaptación;Metabolismo;Crecimiento;A
175;La Biología es la ciencia que estudia a:;Los Seres Vivos;La naturaleza;El hombre;El medio ambiente;A
176;¿Cuál de las siguientes teorías propone que los cambios en el medio ambiente obligan a los organismos a usar o no ciertas partes de su cuerpo, de manera que estas se modifican y dichos cambios son transmitidos a la descendencia?;Lamarckismo;Darwinismo;Neodarwinismo;Creacionismo;A
177;Rama de la biología que estudia la estructura, funcionamiento y desarrollo del ser vivo:;Fisiología;Anatomía;Ecología;Genética;A
178;Es la rama de la Biología que estudia las relaciones de los seres vivos con su medio ambiente:;Ecología;Evolución;Zoología;Botánica;A
179;¿Cuál de las siguientes teorías propone la existencia de un ser supremo para la creación de la vida?;Creacionismo;Generación espontánea;Panspermia;Quimiosintética;A
180;Es una biomolécula inorgánica:;Agua;Carbohidrato;Proteína;Lípido;A
181;Es una biomolécula orgánica:;Lípidos;Agua;Sales minerales;Óxidos;A
182;El conjunto de reacciones químicas que tienen lugar dentro de las células del organismo se conoce como:;Metabolismo;Homeostasis;Crecimiento;Irritabilidad;A
